dataset_id,model,n,positive_n,target_positive_n,boundary_score,boundary_tie_n,boundary_tie_positive_n,screened_n,screening_fraction,work_saved,WSS95,achieved_recall,random_tie_expected_screened_n,random_tie_expected_fraction,random_tie_expected_WSS95,random_tie_best_screened_n,random_tie_worst_screened_n
Bos_2018,BM25,4878,10,10,252.78246790878035,1,1,1903,0.3901189011890119,0.6098810988109882,0.5598810988109881,1.0,1903.0,0.3901189011890119,0.5598810988109881,1903.0,1903.0
Chou_2003,BM25,1907,15,15,119.8504650694214,1,1,862,0.4520188778185632,0.5479811221814368,0.49798112218143675,1.0,862.0,0.4520188778185632,0.49798112218143675,862.0,862.0
Donners_2021,BM25,258,15,15,15.98696299815572,1,1,249,0.9651162790697675,0.03488372093023251,-0.015116279069767535,1.0,249.0,0.9651162790697675,-0.015116279069767535,249.0,249.0
Meijboom_2021,BM25,882,37,36,99.01085068166005,1,1,546,0.6190476190476191,0.38095238095238093,0.3309523809523809,0.972972972972973,546.0,0.6190476190476191,0.3309523809523809,546.0,546.0
Menon_2022,BM25,975,74,71,133.3977001082454,1,1,910,0.9333333333333333,0.06666666666666665,0.016666666666666607,0.9594594594594594,910.0,0.9333333333333333,0.016666666666666607,910.0,910.0
Nelson_2002,BM25,366,80,76,50.08853682186664,1,1,312,0.8524590163934426,0.14754098360655743,0.09754098360655739,0.95,312.0,0.8524590163934426,0.09754098360655739,312.0,312.0
Oud_2018,BM25,952,20,19,95.98547810858368,1,1,389,0.40861344537815125,0.5913865546218487,0.5413865546218487,0.95,389.0,0.40861344537815125,0.5413865546218487,389.0,389.0
Wolters_2018,BM25,4278,19,19,127.88914712122548,1,1,3555,0.8309957924263675,0.16900420757363255,0.1190042075736325,1.0,3555.0,0.8309957924263675,0.1190042075736325,3555.0,3555.0
van_der_Valk_2021,BM25,725,89,85,38.88154931114988,1,1,696,0.96,0.040000000000000036,-0.010000000000000009,0.9550561797752809,696.0,0.96,-0.010000000000000009,696.0,696.0
van_der_Waal_2022,BM25,1970,33,32,101.09587253098113,1,1,1891,0.9598984771573604,0.04010152284263957,-0.009898477157360475,0.9696969696969697,1891.0,0.9598984771573604,-0.009898477157360475,1891.0,1891.0
Bos_2018,TF-IDF,4878,10,10,0.0300414759834868,1,1,698,0.14309143091430915,0.8569085690856908,0.8069085690856908,1.0,698.0,0.14309143091430915,0.8069085690856908,698.0,698.0
Chou_2003,TF-IDF,1907,15,15,0.0068169140693228,1,1,1222,0.6407970634504457,0.35920293654955426,0.3092029365495542,1.0,1222.0,0.6407970634504457,0.3092029365495542,1222.0,1222.0
Donners_2021,TF-IDF,258,15,15,0.0024977843038118,1,1,219,0.8488372093023255,0.15116279069767447,0.10116279069767442,1.0,219.0,0.8488372093023255,0.10116279069767442,219.0,219.0
Meijboom_2021,TF-IDF,882,37,36,0.0068474686560066,1,1,573,0.6496598639455783,0.3503401360544217,0.30034013605442167,0.972972972972973,573.0,0.6496598639455783,0.30034013605442167,573.0,573.0
Menon_2022,TF-IDF,975,74,71,0.006553329767776,1,1,678,0.6953846153846154,0.3046153846153846,0.2546153846153846,0.9594594594594594,678.0,0.6953846153846154,0.2546153846153846,678.0,678.0
Nelson_2002,TF-IDF,366,80,76,0.0023645215294431,1,1,345,0.9426229508196722,0.05737704918032782,0.007377049180327777,0.95,345.0,0.9426229508196722,0.007377049180327777,345.0,345.0
Oud_2018,TF-IDF,952,20,19,0.0118734989689745,1,1,538,0.5651260504201681,0.43487394957983194,0.3848739495798319,0.95,538.0,0.5651260504201681,0.3848739495798319,538.0,538.0
Wolters_2018,TF-IDF,4278,19,19,0.020970803530977,1,1,1354,0.31650303880317904,0.6834969611968209,0.6334969611968209,1.0,1354.0,0.31650303880317904,0.6334969611968209,1354.0,1354.0
van_der_Valk_2021,TF-IDF,725,89,85,0.0018024147758857,1,1,683,0.9420689655172414,0.0579310344827586,0.007931034482758559,0.9550561797752809,683.0,0.9420689655172414,0.007931034482758559,683.0,683.0
van_der_Waal_2022,TF-IDF,1970,33,32,0.0071259079797845,1,1,1593,0.8086294416243655,0.19137055837563455,0.1413705583756345,0.9696969696969697,1593.0,0.8086294416243655,0.1413705583756345,1593.0,1593.0
Bos_2018,MiniLM,4878,10,10,0.5878788,1,1,1504,0.3083230832308323,0.6916769167691676,0.6416769167691676,1.0,1504.0,0.3083230832308323,0.6416769167691676,1504.0,1504.0
Chou_2003,MiniLM,1907,15,15,0.47480235,1,1,894,0.4687991609858416,0.5312008390141584,0.48120083901415833,1.0,894.0,0.4687991609858416,0.48120083901415833,894.0,894.0
Donners_2021,MiniLM,258,15,15,0.33826494,1,1,158,0.6124031007751938,0.3875968992248062,0.3375968992248062,1.0,158.0,0.6124031007751938,0.3375968992248062,158.0,158.0
Meijboom_2021,MiniLM,882,37,36,0.4443053,1,1,427,0.48412698412698413,0.5158730158730158,0.4658730158730158,0.972972972972973,427.0,0.48412698412698413,0.4658730158730158,427.0,427.0
Menon_2022,MiniLM,975,74,71,0.19916928,1,1,611,0.6266666666666667,0.3733333333333333,0.32333333333333325,0.9594594594594594,611.0,0.6266666666666667,0.32333333333333325,611.0,611.0
